Date,Name,Info
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
01,"Boruto: Naruto Next Generations,Mrs. Sazae,Ensemble Stars!,Tenka Hyakken: Meiji-kan e Youkoso!,Chidori RSC,Actors: Songs Connection,Africa Salaryman,Vinland Saga","EP 135 - 03:30 ,EP 2520 - 04:30 ,EP 21 - 08:30 ,EP 8 - 08:54 ,EP 8 - 09:00 ,EP 9 - 09:30 ,EP 9 - 10:00 ,EP 20 - 10:10 "
02,"Ani ni Tsukeru Kusuri wa Nai! 3,Babylon,Phantasy Star Online 2: Episode Oracle,Stand My Heroes: Piece of Truth,Didn't I Say to Make My Abilities Average in the Next Life?!,Bananya and the Curious Bunch","EP 9 - 07:54 ,EP 9 - 08:00 ,EP 9 - 08:30 ,EP 9 - 09:00 ,EP 9 - 09:30 ,EP 10 - 17:30 "
03,"Diamond no Ace: Act II,Black Clover,Z/X: Code Reunion,Kandagawa Jet Girls,Chihayafuru 3","EP 36 - 03:55 ,EP 112 - 04:25 ,EP 9 - 09:00 ,EP 8 - 09:30 ,EP 9 - 11:29 "
04,"The Seven Deadly Sins: Wrath of the Gods,Ahiru no Sora,Urashimasakatasen no Nichijou,Kemono Michi: Rise Up,Cautious Hero: The Hero Is Overpowered but Overly Cautious,ORESUKI Are you the only one who loves me?,Ascendance of a Bookworm,Beastars,Houkago Saikoro Club","EP 9 - 03:55 ,EP 10 - 04:25 ,EP 10 - 07:54 ,EP 10 - 08:00 ,EP 9 - 08:30 ,EP 10 - 10:30 ,EP 10 - 10:30 ,EP 9 - 10:55 ,EP 10 - 12:16 "
05,"Azur Lane,Assassins Pride,Psycho-Pass 3,No Guns Life,Stars Align","EP 9 - 09:30 ,EP 9 - 09:30 ,EP 7 - 10:55 ,EP 9 - 11:28 ,EP 9 - 11:58 "
06,"Dr. Stone,Outburst Dreamer Boys,High Score Girl II,Fire Force,Case File nº221: Kabukicho,Shin Chuuka Ichiban!,Aikatsu on Parade!","EP 23 - 08:00 ,EP 10 - 08:30 ,EP 7 - 11:05 ,EP 20 - 11:40 ,EP 9 - 11:55 ,EP 9 - 12:25 ,EP 10 - 20:30 "
07,"Shin Chan,Doraemon (2005),Welcome to Demon School! Iruma-kun,Case Closed,Val x Love,Sword Art Online: Alicization - War of Underworld,Star☆Twinkle Precure,One Piece","EP 1016 - 02:30 ,EP 500 - 03:00 ,EP 10 - 03:35 ,EP 962 - 04:00 ,EP 10 - 09:00 ,EP 9 - 10:00 ,EP 43 - 18:30 ,EP 913 - 19:30 "
08,"Boruto: Naruto Next Generations,Mrs. Sazae,Ensemble Stars!,Tenka Hyakken: Meiji-kan e Youkoso!,Chidori RSC,Actors: Songs Connection,Africa Salaryman,Vinland Saga","EP 136 - 03:30 ,EP 2521 - 04:30 ,EP 22 - 08:30 ,EP 9 - 08:54 ,EP 9 - 09:00 ,EP 10 - 09:30 ,EP 10 - 10:00 ,EP 21 - 10:10 "
